Timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P403,AIT501,AIT502,AIT503,AIT504,PIT502,FIT601,P602,Normal_Attack
 22/12/2015 4:00:10 PM,2.630753,261.7766,2.0,2,1,244.809,8.19008,306.101,2,1,20.80799,2.233738,326.3586,1,2,1.0,1,2,1,0.0,171.0587,0.0,238.2081,1,7.308575,176.8008,263.6504,12.68905,0.0,0.000256304,1,Normal
 22/12/2015 4:00:23 PM,2.502002,262.3654,2.0,2,1,245.4499,8.1904,305.8703,2,1,20.85601,2.235147,328.9221,1,2,1.0,1,2,1,0.0,171.2125,0.0,244.3989,1,7.308575,176.8008,263.6504,12.68905,0.0,0.000256304,1,Normal
 22/12/2015 4:00:26 PM,2.452359,262.0121,2.0,2,1,245.4499,8.193604,305.6396,2,1,20.69275,2.235147,329.2425,1,2,1.0,1,2,1,0.0,171.0587,0.0,244.9756,1,7.308575,176.8008,263.6504,12.68905,0.0,0.000256304,1,Normal
 22/12/2015 4:01:24 PM,2.450758,261.9729,2.0,2,1,247.6929,8.199372,305.3832,2,1,20.79839,2.233225,331.6858,1,2,1.0,1,2,1,0.0,171.3663,0.0,269.8923,1,7.308575,177.0572,263.6504,12.80441,0.0,0.000256304,1,Normal
 22/12/2015 4:01:42 PM,2.478301,263.3467,2.0,2,1,248.1095,8.217316,304.9474,2,1,20.79839,2.231432,330.8847,1,2,1.0,1,2,1,0.0,171.4176,0.0,278.5824,1,7.308575,177.0572,263.6504,12.68905,0.0,0.000256304,1,Normal
 22/12/2015 4:02:01 PM,2.559972,263.5823,2.0,2,1,248.8785,8.23526,305.4858,2,1,20.62872,2.232841,330.1237,1,2,1.0,1,2,1,0.0,171.315,0.0,285.6191,1,7.308575,177.0828,263.6504,12.68905,0.0,0.000256304,1,Normal
 22/12/2015 4:02:58 PM,2.517055,265.1524,2.0,2,1,250.5127,8.249039,309.4078,2,1,20.69595,2.230151,334.5296,1,2,1.0,1,2,1,0.0,171.6227,0.0,310.5742,1,7.305371,177.211,263.6183,12.68905,0.0,0.000256304,1,Normal
 22/12/2015 4:03:22 PM,2.521538,263.229,2.0,2,1,251.2497,8.260254,310.9716,2,1,3.505346,0.2375172,337.4536,1,1,1.0,1,1,1,0.0,171.6227,0.0,1000.0,1,7.303769,177.211,263.6183,12.80441,0.0,0.000256304,1,Normal
 22/12/2015 4:05:18 PM,0.0,269.9412,1.0,1,1,251.7944,8.324982,300.9741,1,1,2.557782,0.000256221,347.8676,1,1,1.0,1,1,1,0.0,163.9836,0.0,306.729,1,7.433543,171.5714,259.9333,123.6221,0.0,0.000256304,1,Normal
 22/12/2015 4:07:06 PM,0.0,251.1784,1.0,1,1,251.9226,8.321136,302.384,1,1,2.564185,0.000256221,329.2826,1,1,1.0,1,1,1,0.0,164.7783,0.0,294.386,1,7.473597,172.2379,260.0936,123.5452,0.0,0.000256304,1,Normal
 22/12/2015 4:08:23 PM,0.0,233.9464,1.0,1,1,251.9546,8.312164,303.3069,1,1,2.557782,0.000256221,308.2943,1,1,1.0,1,1,1,0.0,165.2141,0.0,275.8139,1,7.482569,172.4686,260.1256,123.5068,0.0,0.000256304,1,Normal
 22/12/2015 4:08:45 PM,0.0,228.3333,1.0,1,1,251.9546,8.31633,303.5119,1,1,2.557782,0.000256221,304.289,1,1,1.0,1,1,1,0.0,165.5986,0.0,271.0074,1,7.482569,172.6224,260.2217,123.4299,0.0,0.000256304,1,Normal
 22/12/2015 4:09:21 PM,0.0,220.679,1.0,1,1,251.9546,8.319855,303.6914,1,1,2.557782,0.000256221,293.4744,1,1,1.0,1,1,1,0.0,165.5986,0.0,262.2404,1,7.482569,172.6993,260.2217,123.4299,0.0,0.000256304,1,Normal
 22/12/2015 4:12:38 PM,0.0,186.0973,1.0,1,1,251.9546,8.310562,305.8447,1,1,2.560983,0.000256221,244.8891,1,1,1.0,1,1,1,0.0,166.829,0.0,219.7513,1,7.485132,172.8275,260.2217,123.4299,0.0,0.000256304,1,Normal
 22/12/2015 4:12:49 PM,0.0,184.0169,1.0,1,1,251.9546,8.307999,306.0241,1,1,2.560983,0.000256221,242.4859,1,1,1.0,1,1,1,0.0,166.829,0.0,217.252,1,7.48321,172.6737,260.2217,123.4299,0.0,0.000256304,1,Normal
 22/12/2015 4:13:19 PM,0.0,179.5029,1.0,1,1,251.9546,8.313766,306.2804,1,1,2.560983,0.000256221,236.4378,1,1,1.0,1,1,1,0.0,166.9572,0.0,211.0613,1,7.48321,172.8018,260.2217,123.4299,0.0,0.000256304,1,Normal
 22/12/2015 4:14:16 PM,0.0,171.8878,1.0,1,1,251.9546,8.31633,306.9213,1,1,2.560983,0.000256221,223.0197,1,1,1.0,1,1,1,0.0,166.8803,0.0,199.2951,1,7.484171,172.9557,260.2217,123.4299,0.0,0.000256304,1,Normal
 22/12/2015 4:14:31 PM,0.0,169.0616,1.0,1,1,251.9546,8.317932,306.9213,1,1,2.560983,0.000256221,219.2146,1,1,1.0,1,1,1,0.0,167.0597,0.0,197.0264,1,7.480967,172.9557,260.3179,123.4299,0.0,0.000256304,1,Normal
 22/12/2015 4:16:21 PM,0.0,156.54,1.0,1,1,251.9546,8.310242,307.5365,1,1,2.560983,0.000256221,195.3025,1,1,1.0,1,1,1,0.0,167.2392,0.0,175.6473,1,7.478403,173.2376,260.2538,123.5452,0.0,0.000256304,1,Normal
 22/12/2015 4:16:33 PM,0.0,155.5587,1.0,1,1,251.9546,8.314407,307.5109,1,1,2.560983,0.000256221,192.699,1,1,1.0,1,1,1,0.0,167.3673,0.0,173.071,1,7.478403,173.1351,260.2538,123.3145,0.0,0.000256304,1,Normal
 22/12/2015 4:16:49 PM,0.0,153.9886,1.0,1,1,251.9546,8.310562,307.7929,1,1,2.560983,0.000256221,188.6936,1,1,1.0,1,1,1,0.0,167.3673,0.0,169.3796,1,7.478724,173.1351,260.2538,123.3145,0.0,0.000256304,1,Normal
 22/12/2015 4:17:07 PM,0.0,152.1437,1.0,1,1,251.9546,8.30864,307.8698,1,1,2.560983,0.000256221,185.9299,1,1,1.0,1,1,1,0.0,167.2135,0.0,166.5727,1,7.47584,173.1351,260.2538,123.353,0.0,0.000256304,1,Normal
 22/12/2015 4:17:50 PM,0.0,148.4147,1.0,1,1,251.9546,8.308319,308.1261,1,1,2.560983,0.000256221,177.078,1,1,1.0,1,1,1,0.0,167.3417,0.0,158.2287,1,7.471994,173.2633,260.2538,123.353,0.0,0.000256304,1,Normal
 22/12/2015 4:18:05 PM,0.0,145.7455,1.0,1,1,251.9546,8.309601,308.3825,1,1,2.560983,0.000256221,173.8336,1,1,1.0,1,1,1,0.0,167.4955,0.0,156.5368,1,7.472635,173.3145,260.2538,123.3145,0.0,0.000256304,1,Normal
